Year Read,Title,Author,Release,Pages,Avg Rating,My Rating,School?,Series Name,Series Number,Genre 1,Genre 2,Genre 3
,Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,2017,790,4.37,,0,,,Nonfiction,Science,
,Sapiens: A Brief History of Humankind,Yuval Noah Harari,2011,512,4.33,,0,,,Nonfiction,Science,
,The Way of Kings,Brandon Sanderson,2010,1007,4.66,,0,The Stormlight Archive,1,Fantasy,High-Fantasy,
,Behold a Pale Horse,Milton William Cooper,1991,534,3.85,,0,,,Nonfiction,Conspiracy,
,American Nations: A History of the Eleven Rival Regional Cultures of North America,Colin Woodard,2011,271,4.2,,0,,,Nonfiction,History,
,The Demon-Haunted World,Carl Sagan,1995,459,4.29,,0,,,Nonfiction,Science,
,Stranger in a Strange Land,Robert A. Heinlein,1961,525,3.92,,0,,,SciFi,Space,
,Butter,Asako Yuzuki,2017,464,3.44,,0,,,Mystery,Murder,
,The Wishing Game,Meg Shaffer,2023,278,4.02,,0,,,Fantasy,Romance,
,East of Eden,John Steinbeck,1952,601,4.45,,0,,,Classic,Literature,
,Welcome to the Monkey House,Kurt Vonnegut,1968,331,4.13,,0,,,Fiction,SciFi,
,How To: Absurd Scientific Advice for Common Real-World Problems,Randall Munroe,2019,308,4.17,,0,How To,1,Nonfiction,Science,
,"Godel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,1979,777,4.29,,0,,,Nonfiction,Science,
,Dracula,Bram Stoker,1897,488,4.02,,0,,,Classic,Fantasy,Thriller
,The Outer Limits of Reason,Noson Yanofsky,2013,403,4.01,,0,,,Nonfiction,Science,
,The Black Swan,Nassim Nicholas Taleb,2007,480,3.96,,0,,,Nonfiction,Economics,
,The Signal and the Noise,Nate Silver,2012,544,3.97,,0,,,Nonfiction,Science,
,The Brothers Karamazov,Fyodor Dostoyevsky,1880,796,4.39,,0,,,Classic,Literature,Philosophy
,Pride and Prejudice,Jane Austen,1813,279,4.3,,0,,,Classic,Romance,Literature
,Algospeak,Adam Aleksic,2025,256,3.72,,0,,,Nonfiction,Linguistics,
,Murder on the Links,Agatha Christie,1923,240,3.87,,0,Hercule Poirot,2,Mystery,Murder,Bottle
,Me Talk Pretty One Day,David Sedaris,2000,272,4.01,,0,,,Nonfiction,Humor,
,Dungeon Crawler,Matt Dinniman,2020,450,4.46,,0,Dungeon Crawler,1,Fantasy,SciFi,
,Howl's Moving Castle,Diana Wynne Jones,1986,329,4.28,,0,Howl's Moving Castle,1,Fantasy,High-Fantasy,Romance
,The Priory of the Orange Tree,Samantha Shannon,2019,848,4.16,,0,Roots of Chaos,1,Fantasy,High-Fantasy,Political
,The Alchemist,Paulo Coelho,1988,182,3.92,,0,,,Classic,Fantasy,Philosophy
